"repeat","lengths","index"
14,14.99,12
14,0.035,13
14,5.84,14
14,0.03,15
14,4.605,16
14,4.245,17
14,1.595,18
14,1.335,19
14,3.595,20
14,12.0,21
14,9.945,22
14,1.995,23
14,7.95,24
14,3.08,25
14,7.525,26
14,0.265,27
14,0.115,28
14,0.55,29
14,0.14,30
14,1.625,31
14,8.355,32
14,3.5100000000000002,33
14,11.725,34
14,0.115,35
14,19.22,36
14,6.01,37
14,10.815,38
14,1.59,39
14,11.345,40
14,0.13,41
14,1.7550000000000001,42
14,0.27,43
14,0.555,44
14,0.02,45
14,0.515,46
14,2.64,47
14,9.705,48
14,1.76,49
14,24.105,50
15,14.780000000000001,1
15,3.13,2
15,2.58,3
15,3.355,4
15,9.855,5
15,5.86,6
15,2.59,7
15,0.025,8
15,3.225,9
15,4.925,10
15,16.77,11
15,5.085,12
15,9.370000000000001,13
15,5.25,14
15,6.84,15
15,1.16,16
15,3.455,17
15,6.805,18
15,11.305,19
15,4.15,20
15,8.005,21
15,6.890000000000001,22
15,9.315,23
15,8.63,24
15,0.105,25
15,0.03,26
15,2.055,27
15,10.185,28
15,14.145,29
15,4.505,30
15,5.265,31
15,0.01,32
15,5.94,33
15,4.595,34
15,4.3100000000000005,35
15,1.82,36
15,33.685,37
16,0.005,1
16,0.08,2
16,2.4250000000000003,3
16,24.005,4
16,0.355,5
16,0.37,6
16,0.105,7
16,0.215,8
16,0.055,9
16,2.87,10
16,0.05,11
16,6.565,12
16,0.15,13
16,33.08,14
16,0.51,15
16,11.265,16
16,1.29,17
16,12.285,18
16,5.01,19
16,0.46,20
16,1.6,21
16,8.78,22
16,0.23,23
16,5.84,24
16,3.45,25
16,26.945,26
16,0.405,27
16,0.055,28
16,0.01,29
16,0.125,30
16,0.015,31
16,7.5,32
16,2.935,33
16,0.46,34
16,1.825,35
16,2.75,36
16,0.09,37
16,26.335,38
16,0.09,39
16,0.06,40
16,4.34,41
16,0.02,42
16,0.09,43
16,0.07,44
16,0.11,45
16,10.870000000000001,46
16,8.405,47
16,8.225,48
16,1.79,49
16,15.435,50
17,0.005,1
17,1.01,2
17,4.61,3
17,24.565,4
17,10.565,5
17,21.875,6
17,2.77,7
17,5.5600000000000005,8
17,4.7250000000000005,9
17,2.325,10
17,6.675,11
17,17.475,12
17,0.17500000000000002,13
17,3.1350000000000002,14
17,6.05,15
17,16.055,16
17,0.105,17
17,0.98,18
17,2.865,19
17,2.65,20
17,1.225,21
17,18.18,22
17,2.39,23
17,15.52,24
17,0.375,25
17,3.94,26
17,0.17500000000000002,27
17,0.155,28
17,0.095,29
17,0.26,30
17,4.7250000000000005,31
17,7.905,32
17,1.955,33
17,4.115,34
17,5.305,35
17,7.785,36
17,1.475,37
17,14.235,38
17,0.065,39
17,1.6400000000000001,40
17,7.115,41
17,7.195,42
18,0.005,1
18,3.1,2
18,1.0050000000000001,3
18,11.325000000000001,4
18,2.63,5
18,9.495000000000001,6
18,3.805,7
18,5.23,8
18,2.035,9
18,0.255,10
18,0.41000000000000003,11
18,0.115,12
18,0.025,13
18,18.240000000000002,14
18,1.0150000000000001,15
18,22.235,16
18,6.295,17
18,10.44,18
18,3.88,19
18,3.1950000000000003,20
18,13.15,21
18,1.96,22
18,3.8200000000000003,23
18,2.595,24
18,0.02,25
18,4.65,26
18,0.125,27
18,0.165,28
18,5.1850000000000005,29
18,0.19,30
18,0.29,31
18,18.455000000000002,32
18,6.885,33
18,5.32,34
18,3.705,35
18,8.535,36
18,8.77,37
18,7.165,38
18,4.67,39
18,2.415,40
18,0.05,41
18,7.675,42
18,0.4,43
18,0.125,44
18,0.095,45
18,6.03,46
18,4.755,47
18,1.08,48
18,4.0200000000000005,49
18,12.97,50
19,0.005,1
19,3.575,2
19,2.755,3
19,8.185,4
19,1.575,5
19,12.51,6
19,1.78,7
19,9.23,8
19,0.115,9
19,0.035,10
19,0.02,11
19,1.33,12
19,7.09,13
19,8.805,14
19,0.03,15
19,18.415,16
19,0.075,17
19,16.865000000000002,18
19,5.11,19
19,0.075,20
19,0.05,21
19,2.715,22
19,1.5,23
19,9.17,24
19,0.145,25
19,7.995,26
19,2.665,27
19,2.185,28
19,0.26,29
19,4.505,30
19,3.99,31
19,5.515,32
19,0.045,33
19,7.15,34
19,6.275,35
19,9.515,36
19,0.085,37
19,11.715,38
19,4.215,39
19,5.74,40
19,0.095,41
19,16.89,42
19,0.035,43
19,2.725,44
19,0.48,45
19,15.175,46
19,0.24,47
19,21.35,48
20,0.015,1
20,3.985,2
20,3.44,3
20,8.505,4
20,5.275,5
20,0.075,6
20,0.265,7
20,3.235,8
20,4.4750000000000005,9
20,5.5600000000000005,10
20,3.62,11
20,2.68,12
20,0.03,13
20,0.395,14
20,0.28,15
20,15.44,16
20,0.025,17
20,3.265,18
20,5.33,19
20,4.6850000000000005,20
20,6.9350000000000005,21
20,10.370000000000001,22
20,2.48,23
20,6.6450000000000005,24
20,0.28500000000000003,25
20,5.755,26
20,0.115,27
20,3.9650000000000003,28
20,1.83,29
20,2.37,30
20,0.07,31
20,0.09,32
20,5.9,33
20,0.05,34
20,0.065,35
20,36.230000000000004,36
20,4.4350000000000005,37
20,7.285,38
20,0.315,39
20,1.595,40
20,0.02,41
20,0.455,42
