"DF","PR","repeat","gamma","x"
12.139244620058346,2.7144176165949068,3,0.01,0.9884377408803984
20.000000000000004,2.7144176165949068,3,0.01,0.9994375117185058
1.0,4.47213595499958,3,0.01,0.9999791671006854
1.6475489724420658,4.47213595499958,3,0.01,0.9999791671006854
2.7144176165949068,4.47213595499958,3,0.01,1.0
4.47213595499958,4.47213595499958,3,0.01,0.9999791671006854
7.368062997280774,4.47213595499958,3,0.01,0.9999791671006854
12.139244620058346,4.47213595499958,3,0.01,1.0
20.000000000000004,4.47213595499958,3,0.01,0.9999791671006854
1.0,7.368062997280774,3,0.01,0.9981250390616863
1.6475489724420658,7.368062997280774,3,0.01,0.9999791671006854
2.7144176165949068,7.368062997280774,3,0.01,1.0
4.47213595499958,7.368062997280774,3,0.01,0.9999791671006854
7.368062997280774,7.368062997280774,3,0.01,1.0
12.139244620058346,7.368062997280774,3,0.01,0.9999791671006854
20.000000000000004,7.368062997280774,3,0.01,1.0
1.0,12.139244620058346,3,0.01,0.9997500052082249
1.6475489724420658,12.139244620058346,3,0.01,0.9999791671006854
2.7144176165949068,12.139244620058346,3,0.01,1.0
4.47213595499958,12.139244620058346,3,0.01,1.0
7.368062997280774,12.139244620058346,3,0.01,0.9999791671006854
12.139244620058346,12.139244620058346,3,0.01,1.0
20.000000000000004,12.139244620058346,3,0.01,0.9999791671006854
1.0,20.000000000000004,3,0.01,0.0001458302952021833
1.6475489724420658,20.000000000000004,3,0.01,0.0021249557300889563
2.7144176165949068,20.000000000000004,3,0.01,0.17307972750567696
4.47213595499958,20.000000000000004,3,0.01,0.9999791671006854
7.368062997280774,20.000000000000004,3,0.01,0.9999791671006854
12.139244620058346,20.000000000000004,3,0.01,1.0
20.000000000000004,20.000000000000004,3,0.01,1.0
1.0,1.0,4,0.01,0.5644049082310785
1.6475489724420658,1.0,4,0.01,0.6421532884731568
2.7144176165949068,1.0,4,0.01,0.7105268640236662
4.47213595499958,1.0,4,0.01,0.7954209287306514
7.368062997280774,1.0,4,0.01,0.8490031457677965
12.139244620058346,1.0,4,0.01,0.9219182933688882
20.000000000000004,1.0,4,0.01,0.9486885689881461
1.0,1.6475489724420658,4,0.01,0.5844044915730923
1.6475489724420658,1.6475489724420658,4,0.01,0.6589237724214079
2.7144176165949068,1.6475489724420658,4,0.01,0.7672756817566301
